Variable,IMF,Mean,Std,Energy,Energy_Ratio,RMS,Max_Amplitude,Zero_Crossings,Zero_Crossing_Rate,ZC_Period_Points,ZC_Period_Hours,FFT_Period_Hours,Persistence,Is_Trend,Interpretation
obs_wind_speed_70m,1,-4.0507946281388165e-05,0.4399573673297426,10126.608617134445,0.36767443211874085,0.4399573691945753,3.5725282379007575,30639,0.5856413785194106,3.4150592382257905,0.8537648095564476,1.2134010576120233,-0.2081711579592396,False,High-frequency noise/turbulence
obs_wind_speed_70m,2,0.0008225944258000434,0.5180548507738315,14040.915200845873,0.5097941194412672,0.518055503852518,7.201739352792728,11126,0.2126650992985072,9.404458026244832,2.351114506561208,2.6583841463414632,0.8303299799085068,False,High-frequency noise/turbulence
obs_wind_speed_70m,3,0.005025686575214331,0.7960835330630083,33157.16739223824,1.2038623346200734,0.7960993965200791,5.97169997865031,4187,0.08003134736318979,24.990207786004298,6.2475519465010745,8.570937090432503,0.9757349761069283,False,Sub-daily patterns/local effects
obs_wind_speed_70m,4,-0.003535748246787547,1.2107140291905165,76688.401608661,2.7843837534956664,1.2107191920484286,6.933307918867931,1607,0.030716593076820155,inf,inf,inf,0.9965028711806683,True,Long-term trend/climate patterns
obs_wind_speed_70m,5,-0.004526552922854524,1.3866085854206633,100590.09778312357,3.6522006999065946,1.3866159738167076,5.85506006664096,650,0.012424259800829559,inf,inf,inf,0.9993858670726627,True,Long-term trend/climate patterns
obs_wind_speed_70m,6,0.004276946738762465,1.1555637361482394,69861.2883413248,2.5365065925939483,1.1555716509910945,3.8131376250460245,252,0.004816789953552382,inf,inf,inf,0.9998921906012144,True,Long-term trend/climate patterns
obs_wind_speed_70m,7,0.00711114009396978,0.8090887114111092,34250.637795074,1.2435637909122645,0.8091199609738504,2.8539120417432464,106,0.0020261100598275893,inf,inf,inf,0.9999794301475359,True,Long-term trend/climate patterns
obs_wind_speed_70m,8,-0.008468175988976211,0.5614786897768901,16497.121131281758,0.598973444404183,0.5615425443171278,1.9916109944347287,49,0.0009365980465240744,inf,inf,inf,0.9999963016193467,True,Long-term trend/climate patterns
obs_wind_speed_70m,9,0.02385457080177952,0.3630816780383023,6926.631923228472,0.2514904599511648,0.3638644603080198,1.0552583158058066,19,0.0003631706711011717,inf,inf,inf,0.9999994251110217,True,Long-term trend/climate patterns
obs_wind_speed_70m,10,-0.0029133513528315654,0.20673640525157394,2236.4695533198646,0.08120119025597552,0.20675693186069494,0.4548241386584282,7,0.00013379972093201063,inf,inf,inf,0.9999998920359706,True,Long-term trend/climate patterns
obs_wind_speed_70m,11,-0.025955805573470103,0.18920468836896748,1908.111794463999,0.06927925695297049,0.19097674712845505,0.46887464083929403,5,9.557122923715044e-05,inf,inf,inf,0.9999999792681152,True,Long-term trend/climate patterns
obs_wind_speed_70m,12,6.75469681947441,0.1338492378891156,2387949.0253411187,86.70106992534714,6.756022849391586,6.917715459447302,0,0.0,inf,inf,inf,0.9999999958078422,True,Long-term trend/climate patterns
power,1,0.009084426646996229,3.892433909546038,792661.368276187,0.713818525955587,3.8924445104575813,77.87823790683343,29092,0.5560716401934361,3.5966588752921766,0.8991647188230442,1.323542805100182,0.006836129695794586,False,High-frequency noise/turbulence
power,2,-0.04960778996247064,5.820019310250137,1772242.8588028208,1.5959649804267495,5.820230726054548,61.82634113890706,11211,0.21428981019553872,9.333154937115333,2.3332887342788333,3.2903773584905656,0.8474982076126872,False,High-frequency noise/turbulence
power,3,-0.17360605223684386,10.21033636295291,5455674.711855414,4.913020662756573,10.211812165625243,74.26963163767039,3897,0.07448821606743505,26.849884526558892,6.712471131639723,8.004436964504285,0.9786173534565185,False,Sub-daily patterns/local effects
power,4,-0.6656650025944301,16.335357946544175,13983655.503381511,12.592757460354203,16.34891522815514,77.53295603012747,1573,0.03006670871800753,inf,inf,inf,0.99650475909772,True,Long-term trend/climate patterns
power,5,-0.47504200684500797,20.86458341520393,22787009.724311497,20.520477398459732,20.86999056056974,94.79576548230676,639,0.012214003096507827,inf,inf,inf,0.9994041919884215,True,Long-term trend/climate patterns
power,6,-0.24025744805541707,18.476603098157884,17863251.755449753,16.086465856887607,18.47816510609762,59.416113857796205,256,0.004893246936942103,inf,inf,inf,0.9998899436392923,True,Long-term trend/climate patterns
power,7,-0.07842060388232715,13.843937683408713,10027116.000445595,9.029759049049373,13.844159792967467,43.65223970257732,116,0.0022172525183018904,inf,inf,inf,0.9999797727519678,True,Long-term trend/climate patterns
power,8,0.0681734753680814,9.052265739345597,4287282.024757036,3.8608433030151628,9.052522446173434,32.04958512431449,49,0.0009365980465240744,inf,inf,inf,0.9999955408135762,True,Long-term trend/climate patterns
power,9,0.010013383088619425,6.06441856955588,1924076.5839348957,1.7326964148094075,6.06442683644671,16.17190530164637,16,0.00030582793355888146,inf,inf,inf,0.9999994097971633,True,Long-term trend/climate patterns
power,10,0.18553409786209354,5.0938642412794914,1359293.7967546675,1.2240903028364976,5.097241980724025,12.875768060115455,6,0.00011468547508458054,inf,inf,inf,0.9999998825705128,True,Long-term trend/climate patterns
power,11,24.047930909218806,3.206428883565671,30792957.8753985,27.730106045449098,24.260753640394714,27.731040054120697,0,0.0,inf,inf,inf,0.999999992019585,True,Long-term trend/climate patterns
